0,1,2,3,4,5,6,7,8,9,10,11,12
Equity Capital,6,61,423,"1,006","1,006","1,006","1,053","1,139","1,252","1,111","1,135","1,138"
Reserves,-0,-13,288,"1,006","1,038","1,248","1,691","2,257","2,994","4,047","4,834","4,809"
Deposits,0,0,0,"1,921","5,604","9,007","10,788","16,392","18,951","25,348","36,129","39,859"
Borrowings +,0,44,"1,638","4,779","5,177","3,973","5,135","4,165","2,616","2,974","1,788","1,085"
Other Liabilities +,0,14,65,"2,455","6,089","9,535","11,417","17,147","20,085","26,826","37,548","41,601"
Total Liabilities,5,105,"2,414","9,245","13,310","15,763","19,296","24,708","26,948","34,958","45,304","48,634"
Fixed Assets +,0,4,11,274,280,236,210,184,189,338,537,622
CWIP,0,0,0,15,1,2,2,1,11,41,68,0
Investments,0,0,0,"1,890","3,857","2,344","2,343","3,705","4,450","6,665","9,065","9,987"
Other Assets +,5,102,"2,403","7,066","9,172","13,181","16,740","20,818","22,297","27,914","35,634","38,024"
Total Assets,5,105,"2,414","9,245","13,310","15,763","19,296","24,708","26,948","34,958","45,304","48,634"
