0,1,2,3,4,5,6,7,8,9,10,11
Cash from Operating Activity +,,-101,-336,"1,334",213,"1,799",440,"2,044",159,-998,"4,298"
Cash from Investing Activity +,,-3,-9,-405,-11,-7,-72,-43,-89,49,-422
Cash from Financing Activity +,,108,168,-563,-28,"-1,706",908,"-1,154","-1,317",60,"-1,612"
Net Cash Flow,,4,-177,366,173,86,"1,276",847,"-1,246",-888,"2,264"
