0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,0.14,0.14,0.14,0.14,14,14,14,14,14,14,14,14,14
Reserves,119,184,267,305,561,854,"1,142","1,286","1,562","1,905","2,208","2,510","2,563"
Borrowings +,0,0,1,0,0,376,176,0,0,0,317,"2,529","2,577"
Other Liabilities +,55,83,86,96,82,126,138,183,179,232,245,296,334
Total Liabilities,174,268,354,402,657,"1,370","1,470","1,483","1,755","2,150","2,784","5,350","5,488"
Fixed Assets +,15,64,61,65,92,490,484,601,584,642,898,"1,516","2,503"
CWIP,0,0,0,0,0,0,3,4,2,3,0,1,0
Investments,58,98,182,206,381,546,580,320,531,778,997,"1,619","1,883"
Other Assets +,101,106,110,131,184,335,403,558,638,728,889,"2,214","1,101"
Total Assets,174,268,354,402,657,"1,370","1,470","1,483","1,755","2,150","2,784","5,350","5,488"
