0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,40,90,92,133,210,236,216,265,395,369,322,336
Cash from Investing Activity +,-41,-85,-94,-45,-199,-593,2,127,-348,-268,-513,"-2,492"
Cash from Financing Activity +,-1,-0,1,-84,-18,363,-221,-334,-81,-88,194,"2,160"
Net Cash Flow,-1,5,-1,4,-6,7,-2,58,-34,13,3,4
