0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,417,520,548,605,713,761,897,"1,020","1,109","1,216","1,331","1,487","1,634"
Expenses +,325,436,437,435,442,445,562,661,691,727,825,"1,031","1,189"
Operating Profit,92,84,111,171,271,316,334,359,417,488,506,456,445
OPM %,22%,16%,20%,28%,38%,42%,37%,35%,38%,40%,38%,31%,27%
Other Income +,1,9,7,3,25,28,32,11,10,25,16,33,39
Interest,0,0,0,0,1,10,23,2,1,3,21,57,196
Depreciation,2,4,15,20,21,22,32,45,38,51,65,102,168
Profit before tax,90,89,103,154,274,312,312,324,389,459,437,329,121
Tax %,27%,27%,19%,10%,9%,6%,8%,10%,10%,9%,9%,9%,
Net Profit +,66,65,83,138,248,294,285,291,351,417,398,300,86
EPS in Rs,"4,785.45","4,738.18","6,060.36","10,034.18",18.05,21.36,20.75,21.45,25.82,30.69,29.27,22.03,6.34
Dividend Payout %,0%,0%,0%,61%,0%,0%,0%,13%,21%,20%,25%,0%,
