0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,304.64,282.14,328.76,355.37,332.01,314.59,411.29,409.71,324.41,341.30,456.69,436.56,399.73
Expenses +,181.86,180.51,202.57,214.31,205.62,203.10,255.78,265.22,249.98,261.91,333.31,293.93,300.16
Operating Profit,122.78,101.63,126.19,141.06,126.39,111.49,155.51,144.49,74.43,79.39,123.38,142.63,99.57
OPM %,40.30%,36.02%,38.38%,39.69%,38.07%,35.44%,37.81%,35.27%,22.94%,23.26%,27.02%,32.67%,24.91%
Other Income +,5.84,9.05,3.37,6.15,3.48,4.26,4.03,6.98,3.43,20.39,5.16,5.81,7.79
Interest,0.77,0.98,7.23,7.49,3.14,2.96,6.84,6.55,15.14,28.89,56.17,56.26,54.65
Depreciation,13.54,15.07,14.97,15.90,16.50,17.28,20.16,25.00,28.08,29.14,45.55,46.16,46.68
Profit before tax,114.31,94.63,107.36,123.82,110.23,95.51,132.54,119.92,34.64,41.75,26.82,46.02,6.03
Tax %,8.98%,8.37%,10.96%,6.95%,9.84%,8.03%,16.43%,1.76%,8.63%,5.37%,36.47%,38.94%,70.48%
Net Profit +,104.06,86.71,95.59,115.20,99.38,87.84,110.76,117.81,31.65,39.51,17.04,28.10,1.78
EPS in Rs,7.66,6.38,7.03,8.47,7.31,6.46,8.14,8.66,2.33,2.90,1.25,2.06,0.13
Raw PDF,,,,,,,,,,,,,
