0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,767,"1,127",962,"1,785",330,933,593,"1,895","1,494","1,615","1,534","2,085"
Cash from Investing Activity +,-403,-203,-367,"-1,078","-1,395","-2,754",-457,"-2,675","-2,161",-868,-234,-435
Cash from Financing Activity +,-321,-857,-607,-641,906,"1,934",-178,807,667,-658,"-1,115","-1,656"
Net Cash Flow,44,67,-12,66,-159,113,-42,27,-0,90,184,-5
