0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,792","3,988","4,436","4,252","4,247","4,366","4,413","4,407","4,332","4,387","4,592","4,462","4,540"
Expenses +,"3,447","3,612","4,007","3,815","3,698","3,670","3,627","3,565","3,548","3,703","3,958","3,923","4,036"
Operating Profit,345,376,429,437,548,696,787,841,784,684,633,539,504
OPM %,9%,9%,10%,10%,13%,16%,18%,19%,18%,16%,14%,12%,11%
Other Income +,19,38,29,19,10,17,15,22,-2,25,-22,21,19
Interest,95,108,106,121,123,118,110,106,100,88,87,87,96
Depreciation,203,234,216,223,227,242,226,228,228,235,229,233,233
Profit before tax,66,72,136,113,209,353,466,530,454,386,295,240,193
Tax %,26%,25%,23%,42%,34%,32%,35%,35%,35%,45%,35%,31%,36%
Net Profit +,49,54,104,66,138,239,303,344,296,212,192,165,124
EPS in Rs,0.77,0.85,1.64,1.04,2.17,3.76,4.77,5.42,4.65,3.33,3.02,2.59,1.94
Raw PDF,,,,,,,,,,,,,
