0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,601,601,601,601,802,757,"1,084","1,084","1,084","1,084","1,084","1,084","1,627"
Reserves,"18,610","20,107","20,913","24,318","28,289","27,153","26,661","23,302","25,126","28,806","33,281","43,038","46,011"
Borrowings +,"1,058","9,783","8,341","9,133","8,948","9,004","11,624","8,885","16,022","11,894","11,437","11,710","11,813"
Other Liabilities +,"4,560","4,438","6,427","5,097","7,302","7,121","8,182","9,671","8,518","8,229","8,542","9,483","10,247"
Total Liabilities,"24,830","34,929","36,283","39,149","45,340","44,034","47,551","42,943","50,750","50,014","54,344","65,315","69,698"
Fixed Assets +,"4,995","5,479","6,430","8,178","10,131","11,960","12,128","12,821","12,758","13,510","14,726","16,669","16,998"
CWIP,"1,769","2,077","2,697","1,805","1,894",988,"1,267","2,025","2,388","2,063","2,344","2,388","2,948"
Investments,"1,857","11,457","11,678","14,453","21,950","22,786","22,003","18,389","25,023","27,993","28,321","37,133","38,665"
Other Assets +,"16,209","15,916","15,478","14,713","11,365","8,301","12,152","9,708","10,582","6,448","8,954","9,125","11,086"
Total Assets,"24,830","34,929","36,283","39,149","45,340","44,034","47,551","42,943","50,750","50,014","54,344","65,315","69,698"
