0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,123,166,240,231,342,427,537,528,483,528,529,625,718
Expenses +,101,132,183,169,248,284,348,321,269,308,308,337,404
Operating Profit,22,34,57,63,94,142,189,207,214,220,220,288,315
OPM %,18%,20%,24%,27%,27%,33%,35%,39%,44%,42%,42%,46%,44%
Other Income +,2,3,3,3,13,23,35,66,19,56,99,105,130
Interest,1,1,1,0,0,1,0,0,0,0,0,0,0
Depreciation,1,3,8,7,13,19,21,20,22,26,26,27,26
Profit before tax,22,33,51,58,93,146,203,253,210,250,293,366,418
Tax %,34%,23%,19%,22%,24%,30%,27%,22%,26%,25%,20%,22%,
Net Profit +,14,26,41,45,70,102,148,198,156,188,234,284,323
EPS in Rs,1.89,3.39,5.42,6.00,9.30,13.53,19.59,26.13,20.65,24.79,30.86,37.36,42.48
Dividend Payout %,26%,24%,18%,20%,16%,15%,11%,10%,15%,16%,15%,13%,
