0,1,2,3,4,5,6,7
Debtor Days,,347,115,74,72,86,63
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,,347,115,74,72,86,63
Working Capital Days,,419,84,29,-4,31,28
ROCE %,,18%,20%,10%,24%,28%,27%
