0,1,2,3,4,5,6,7
Cash from Operating Activity +,-0,144,245,418,292,204,512
Cash from Investing Activity +,0,-140,-54,-364,-198,-47,-329
Cash from Financing Activity +,0,35,-161,-78,-92,-132,-155
Net Cash Flow,0,39,29,-24,2,25,29
