0,1,2,3,4,5,6,7,8
Equity Capital,0.10,268,269,269,270,270,271,271
Reserves,-0,655,663,779,949,"1,113","1,331","1,444"
Borrowings +,0,132,150,60,82,57,68,94
Other Liabilities +,0,183,165,212,423,381,483,567
Total Liabilities,0,"1,239","1,247","1,320","1,724","1,821","2,153","2,377"
Fixed Assets +,0,298,349,279,300,280,311,359
CWIP,0,1,5,12,0,32,1,2
Investments,0,421,285,403,550,844,"1,040","1,611"
Other Assets +,0,519,608,625,875,665,801,404
Total Assets,0,"1,239","1,247","1,320","1,724","1,821","2,153","2,377"
