0,1,2,3,4,5,6,7,8
Sales +,0,230,968,803,"1,181","1,516","2,017","2,461"
Expenses +,0,153,692,625,889,"1,088","1,530","1,870"
Operating Profit,-0,78,275,178,292,428,487,590
OPM %,,34%,28%,22%,25%,28%,24%,24%
Other Income +,0,26,34,21,77,42,69,122
Interest,0,6,15,9,11,15,15,11
Depreciation,0,16,86,91,82,91,103,120
Profit before tax,-0,81,208,99,277,366,438,580
Tax %,0%,9%,9%,6%,14%,23%,25%,
Net Profit +,-0,74,190,94,238,280,327,431
EPS in Rs,-27.00,2.72,6.92,3.41,8.69,10.22,11.92,15.74
Dividend Payout %,0%,27%,14%,43%,35%,40%,56%,
