0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,305,332,355,358,380,424,445,503,522,546,568,685,661
Expenses +,235,256,246,252,285,305,321,369,403,446,443,488,494
Operating Profit,71,76,109,105,95,119,124,134,119,101,125,197,168
OPM %,23%,23%,31%,29%,25%,28%,28%,27%,23%,18%,22%,29%,25%
Other Income +,11,41,11,8,19,4,2,6,22,48,6,54,14
Interest,2,5,4,4,4,3,4,4,4,3,4,2,2
Depreciation,21,21,21,23,24,22,23,25,26,28,29,31,33
Profit before tax,58,91,95,87,86,98,100,111,110,117,98,218,146
Tax %,19%,6%,22%,24%,22%,24%,23%,24%,24%,30%,24%,26%,23%
Net Profit +,47,86,74,66,66,74,77,84,84,82,75,162,112
EPS in Rs,1.72,3.15,2.69,2.40,2.42,2.71,2.80,3.08,3.07,2.98,2.75,5.92,4.09
Raw PDF,,,,,,,,,,,,,
