0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,256","1,928","2,489","2,374","2,419","2,189","2,740","2,440","2,574","2,249","2,806","2,431","2,585"
Expenses +,"1,913","1,614","2,115","2,055","2,108","1,847","2,226","2,037","2,145","1,924","2,323","2,047","2,167"
Operating Profit,344,314,374,318,311,343,514,403,430,325,484,383,417
OPM %,15%,16%,15%,13%,13%,16%,19%,17%,17%,14%,17%,16%,16%
Other Income +,14,19,11,14,40,13,12,16,16,13,17,17,69
Interest,12,12,14,21,26,26,17,17,16,15,12,13,12
Depreciation,49,52,56,55,57,67,70,75,74,78,78,80,80
Profit before tax,296,270,315,257,268,263,439,327,355,246,411,308,395
Tax %,26%,25%,26%,26%,23%,25%,26%,25%,26%,26%,26%,26%,22%
Net Profit +,220,203,234,191,207,196,326,244,263,182,306,229,306
EPS in Rs,1.89,1.74,2.01,1.64,1.78,1.68,2.80,2.09,2.26,1.56,2.62,1.96,2.63
Raw PDF,,,,,,,,,,,,,
