0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,906","3,248","3,655","3,858","4,225","4,724","5,516","5,692","6,021","7,741","9,471","10,003","10,071"
Expenses +,"2,569","2,858","3,180","3,250","3,677","3,980","4,653","4,734","4,924","6,558","8,120","8,331","8,461"
Operating Profit,336,390,475,608,549,743,863,958,"1,097","1,183","1,350","1,672","1,610"
OPM %,12%,12%,13%,16%,13%,16%,16%,17%,18%,15%,14%,17%,16%
Other Income +,31,31,34,36,220,47,25,151,41,63,73,57,116
Interest,28,34,35,17,8,16,35,33,33,43,86,65,51
Depreciation,46,58,79,88,98,112,165,171,186,198,234,297,316
Profit before tax,293,328,396,539,663,662,687,905,919,"1,005","1,103","1,367","1,359"
Tax %,28%,29%,33%,34%,33%,35%,37%,23%,26%,25%,25%,26%,
Net Profit +,210,234,266,356,444,432,436,699,681,750,828,"1,015","1,022"
EPS in Rs,1.80,2.01,2.28,3.06,3.81,3.71,3.74,6.00,5.84,6.43,7.11,8.71,8.77
Dividend Payout %,30%,33%,33%,32%,38%,40%,42%,31%,40%,40%,38%,40%,
