0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,177,337,385,536,338,399,548,793,677,530,934,"1,483"
Cash from Investing Activity +,-193,-304,-169,-222,-264,-169,-345,-234,-459,-549,-659,-296
Cash from Financing Activity +,62,-93,-186,-346,-73,-195,-237,-530,-183,-5,-284,"-1,092"
Net Cash Flow,46,-59,31,-33,2,35,-34,28,35,-25,-9,94
