0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"7,491","6,760","7,586","7,344","7,522","7,626","8,114","7,342","7,913","7,481","7,882","6,868","7,321"
Expenses +,"6,023","5,397","6,124","6,229","6,027","5,878","6,114","5,757","6,016","5,932","6,289","5,746","5,812"
Operating Profit,"1,468","1,363","1,463","1,116","1,495","1,748","2,000","1,585","1,897","1,549","1,593","1,122","1,508"
OPM %,20%,20%,19%,15%,20%,23%,25%,22%,24%,21%,20%,16%,21%
Other Income +,105,35,114,117,162,125,217,172,238,197,226,-18,226
Interest,21,14,20,24,25,25,26,28,31,31,30,39,33
Depreciation,184,181,184,189,189,194,172,179,190,194,196,207,221
Profit before tax,"1,367","1,203","1,372","1,020","1,443","1,654","2,018","1,551","1,914","1,522","1,592",858,"1,481"
Tax %,25%,25%,26%,25%,25%,25%,25%,25%,25%,21%,25%,30%,25%
Net Profit +,"1,020",900,"1,017",763,"1,086","1,234","1,508","1,160","1,444","1,209","1,192",602,"1,109"
EPS in Rs,10.64,9.38,10.61,7.96,11.32,12.86,15.73,12.10,15.05,12.61,12.43,6.28,11.56
Raw PDF,,,,,,,,,,,,,
