0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,423,431,444,462,462,530,530,925,"1,036","1,036","1,036","1,036","1,036"
Reserves,"31,547","35,555","39,392","39,737","39,841","42,864","50,453","70,931","76,010","84,874","97,187","111,188","125,504"
Deposits,"473,883","568,894","617,560","574,038","601,675","591,315","638,690","945,984","966,997","1,045,939","1,203,688","1,326,958","1,363,486"
Borrowings +,"26,579","36,813","35,264","33,472","30,611","62,572","67,201","93,069","66,848","103,899","101,910","94,402","106,082"
Other Liabilities +,"488,587","586,706","639,889","597,706","623,961","614,033","662,803","992,990","1,011,471","1,088,191","1,258,420","1,379,167","1,416,221"
Total Liabilities,"547,135","659,505","714,989","671,376","694,875","720,000","780,987","1,157,916","1,155,365","1,278,000","1,458,553","1,585,793","1,648,842"
Fixed Assets +,"2,453","2,734","2,875","6,254","5,758","5,367","6,990","8,889","8,016","9,922","8,707","7,913","7,612"
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"121,394","116,113","116,812","120,451","129,631","163,185","182,298","274,615","261,220","315,795","362,485","369,817","373,832"
Other Assets +,"423,289","540,658","595,301","544,672","559,487","551,448","591,699","874,412","886,128","952,283","1,087,361","1,208,063","1,267,398"
Total Assets,"547,135","659,505","714,989","671,376","694,875","720,000","780,987","1,157,916","1,155,365","1,278,000","1,458,553","1,585,793","1,648,842"
