0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"17,963","18,174","18,937","21,254","23,540","25,857","26,556","27,862","28,605","29,583","29,629","30,263","30,908"
Interest,"9,411","9,562","10,099","11,080","12,722","14,332","15,559","17,031","17,504","17,791","18,029","18,641","19,491"
Expenses +,"8,095","9,235","7,178","7,597","8,542","8,339","8,441","9,143","7,563","9,180","7,937","9,662","8,604"
Financing Profit,457,-624,"1,661","2,578","2,276","3,186","2,555","1,688","3,538","2,613","3,663","1,960","2,813"
Financing Margin %,3%,-3%,9%,12%,10%,12%,10%,6%,12%,9%,12%,6%,9%
Other Income +,"2,519","2,522","1,182","1,826","3,552","3,466","3,322","4,171","2,810","4,191","2,487","5,181","3,769"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,976","1,899","2,843","4,403","5,828","6,652","5,878","5,859","6,349","6,804","6,151","7,141","6,582"
Tax %,26%,6%,24%,25%,34%,28%,31%,27%,28%,28%,28%,27%,27%
Net Profit +,"2,197","1,779","2,168","3,313","3,853","4,775","4,070","4,253","4,579","4,886","4,458","5,238","4,837"
EPS in Rs,4.25,3.44,4.19,6.41,7.45,9.23,7.87,8.22,8.86,9.45,8.62,10.13,9.35
Gross NPA %,7.25%,6.61%,6.26%,5.31%,4.53%,3.79%,3.51%,3.32%,3.08%,2.92%,2.88%,2.50%,2.43%
Net NPA %,2.25%,1.72%,1.58%,1.16%,0.99%,0.89%,0.78%,0.76%,0.70%,0.68%,0.69%,0.60%,0.59%
Raw PDF,,,,,,,,,,,,,
