0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,42,63,41,116,112,72,114,123,262,98,156,228
Cash from Investing Activity +,-36,-48,-117,-38,-92,-36,-102,-76,-243,-70,-101,-140
Cash from Financing Activity +,2,-25,76,-48,-20,-34,-27,-53,-13,-21,-59,-80
Net Cash Flow,9,-10,-1,30,-0,1,-15,-6,7,7,-3,8
