0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,193","1,498","1,551","1,303","1,489","1,729","1,633","1,453","1,586","1,648","1,445","1,141","1,373"
Expenses +,"1,047","1,221","1,334","1,164","1,329","1,540","1,466","1,274","1,344","1,372","1,260","1,080","1,231"
Operating Profit,146,276,217,139,160,189,168,179,242,275,185,61,143
OPM %,12%,18%,14%,11%,11%,11%,10%,12%,15%,17%,13%,5%,10%
Other Income +,16,-6,7,21,16,18,14,15,17,18,92,12,11
Interest,25,22,25,23,25,20,23,23,21,21,19,18,17
Depreciation,47,51,47,48,48,50,47,48,51,49,47,50,51
Profit before tax,91,198,152,89,102,137,112,123,188,223,211,6,85
Tax %,35%,13%,34%,34%,28%,29%,33%,33%,34%,36%,26%,-32%,30%
Net Profit +,59,172,101,59,74,97,75,83,124,142,156,8,60
EPS in Rs,5.03,14.59,8.58,5.01,6.25,8.27,6.36,7.06,10.54,12.10,13.28,0.64,5.07
Raw PDF,,,,,,,,,,,,,
