0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,9,0,11,13,11,10,10,8,4,2,4,2
Inventory Days,86,104,139,127,133,149,139,177,106,145,162,157
Days Payable,97,86,136,105,127,149,228,201,128,88,118,97
Cash Conversion Cycle,-2,18,14,36,17,10,-79,-16,-17,59,47,63
Working Capital Days,-62,-63,-60,-53,-39,-38,-65,-49,-31,-22,-3,-16
ROCE %,12%,7%,8%,4%,6%,7%,8%,16%,20%,20%,16%,20%
