0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,055","2,057","2,307","2,620","2,910","3,412","3,882","4,044","4,385","5,041","6,071","6,320","5,607"
Expenses +,"1,626","1,755","1,958","2,348","2,545","3,001","3,467","3,371","3,595","4,240","5,367","5,456","4,943"
Operating Profit,429,302,349,272,365,411,415,672,790,801,704,864,664
OPM %,21%,15%,15%,10%,13%,12%,11%,17%,18%,16%,12%,14%,12%
Other Income +,39,26,-35,38,70,68,57,20,44,44,62,64,133
Interest,84,77,91,197,189,197,188,164,143,96,92,87,75
Depreciation,149,135,112,163,172,179,179,188,194,191,194,195,197
Profit before tax,235,115,112,-50,74,103,104,339,497,558,481,646,525
Tax %,25%,19%,14%,-87%,-11%,18%,24%,31%,27%,24%,31%,34%,
Net Profit +,176,93,96,-7,82,84,80,235,364,426,331,424,366
EPS in Rs,14.93,7.90,8.12,-0.56,6.97,7.14,6.76,19.99,30.92,36.22,28.11,36.06,31.09
Dividend Payout %,17%,25%,25%,-45%,11%,11%,11%,13%,12%,14%,13%,18%,
