0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"10,001","10,222","10,446","10,468","10,746","11,328","10,245","10,419","10,677","11,051","10,068","10,260","10,121"
Expenses +,"1,380","1,980","1,644","1,632","1,367","1,277","1,584","1,371","1,276","2,083","1,385","1,473","1,598"
Operating Profit,"8,621","8,242","8,802","8,837","9,379","10,051","8,661","9,049","9,401","8,968","8,683","8,787","8,523"
OPM %,86%,81%,84%,84%,87%,89%,85%,87%,88%,81%,86%,86%,84%
Other Income +,636,"1,310",651,587,960,820,702,825,903,"1,203",782,"1,370","1,533"
Interest,"1,852","2,103","1,982","2,196","3,037","2,511","2,121","2,389","2,516","2,021","2,160","2,605","2,127"
Depreciation,"3,193","3,187","3,203","3,198","3,304","3,193","3,141","3,142","3,159","3,116","3,073","3,162","3,074"
Profit before tax,"4,212","4,261","4,268","4,029","3,999","5,167","4,100","4,343","4,630","5,034","4,232","4,391","4,854"
Tax %,20%,-1%,12%,9%,7%,18%,14%,12%,14%,18%,19%,15%,20%
Net Profit +,"3,349","4,321","3,766","3,651","3,702","4,217","3,543","3,834","3,970","4,128","3,412","3,711","3,894"
EPS in Rs,3.60,4.65,4.05,3.93,3.98,4.53,3.81,4.12,4.27,4.44,3.67,3.99,4.19
Raw PDF,,,,,,,,,,,,,
