0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,269,706,"1,211",869,"1,289",90,447,851,115,"1,430","1,815","-1,062"
Cash from Investing Activity +,-469,-677,-144,-480,-252,-160,-227,-462,-31,-883,"-1,406","1,107"
Cash from Financing Activity +,168,-2,-944,-288,"-1,213",97,-247,-278,-199,-521,-397,-86
Net Cash Flow,-32,26,123,101,-175,27,-28,111,-114,26,13,-42
