0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"4,149","5,159","5,730","5,602","5,691","5,851","6,415","6,325","5,926","9,386","9,841","9,299","9,542"
Expenses +,"3,320","3,898","4,789","4,494","4,560","4,993","5,283","5,442","5,159","7,124","8,556","8,340","8,270"
Operating Profit,828,"1,261",942,"1,108","1,131",859,"1,132",883,767,"2,262","1,285",958,"1,272"
OPM %,20%,24%,16%,20%,20%,15%,18%,14%,13%,24%,13%,10%,13%
Other Income +,55,64,158,241,628,185,218,172,188,385,193,334,312
Interest,174,152,122,87,125,114,118,133,113,100,102,102,83
Depreciation,254,294,489,363,329,229,241,319,358,362,389,399,391
Profit before tax,455,879,489,899,"1,305",701,990,603,484,"2,186",987,791,"1,111"
Tax %,29%,26%,27%,25%,23%,22%,30%,10%,24%,23%,24%,23%,
Net Profit +,324,652,359,676,"1,002",546,696,545,367,"1,677",749,608,837
EPS in Rs,10.17,20.48,11.28,21.25,34.87,19.00,24.21,18.97,12.74,58.07,25.91,21.01,28.94
Dividend Payout %,12%,11%,18%,14%,8%,16%,14%,0%,27%,59%,14%,19%,
