0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,773","4,351","3,795","3,490","3,297","3,671","3,179","3,043","3,348","3,579","2,856","4,001","4,662"
Expenses +,"2,583","2,724","2,916","3,155","2,832","2,904","2,584","2,647","2,574","2,472","1,922","2,452","2,335"
Operating Profit,"1,191","1,627",880,334,466,767,595,397,774,"1,108",934,"1,549","2,328"
OPM %,32%,37%,23%,10%,14%,21%,19%,13%,23%,31%,33%,39%,50%
Other Income +,72,142,52,69,61,55,48,69,50,511,61,72,99
Interest,2,16,4,4,4,1,2,4,2,9,3,4,19
Depreciation,151,384,150,154,157,255,170,186,154,240,174,180,286
Profit before tax,"1,109","1,368",778,246,365,566,471,275,668,"1,369",817,"1,437","2,122"
Tax %,25%,25%,26%,31%,25%,8%,26%,25%,27%,26%,26%,26%,25%
Net Profit +,831,"1,026",579,170,274,522,349,206,488,"1,016",601,"1,062","1,583"
EPS in Rs,4.52,5.58,3.15,0.93,1.49,2.84,1.90,1.12,2.66,5.53,3.27,5.78,8.62
Raw PDF,,,,,,,,,,,,,
