0,1,2,3,4,5,6
Debtor Days,,125,149,128,107,131
Inventory Days,,4,30,55,63,46
Days Payable,,136,31,97,76,107
Cash Conversion Cycle,,-6,148,85,94,69
Working Capital Days,,12,144,93,140,174
ROCE %,,267%,57%,25%,24%,16%
