0,1,2,3,4,5,6
Cash from Operating Activity +,0,19,-2,85,-29,65
Cash from Investing Activity +,0,-18,15,-6,-451,-148
Cash from Financing Activity +,0,0,0,-64,467,82
Net Cash Flow,0,2,14,15,-13,-1
