0,1,2,3,4,5,6,7
Sales +,0,537,523,627,908,"1,016","1,062"
Expenses +,0,486,454,575,856,932,964
Operating Profit,-0,50,69,52,52,85,98
OPM %,,9%,13%,8%,6%,8%,9%
Other Income +,0,0,6,1,2,9,19
Interest,0,0,0,0,1,8,6
Depreciation,0,0,0,1,2,4,3
Profit before tax,-0,50,75,53,52,82,107
Tax %,0%,25%,25%,26%,26%,24%,
Net Profit +,-0,37,56,39,38,62,85
EPS in Rs,-30.00,"37,440.00","56,360.00","38,960.00",1.95,2.93,3.91
Dividend Payout %,0%,0%,0%,0%,0%,51%,
