0,1,2,3,4,5,6,7
Equity Capital,0.01,0.01,0.01,0.01,98,106,110
Reserves,-0,37,94,132,72,607,"1,322"
Borrowings +,0,0,131,67,59,148,0
Other Liabilities +,0,174,50,143,645,243,254
Total Liabilities,0,211,274,342,874,"1,104","1,687"
Fixed Assets +,0,0,1,2,6,8,8
CWIP,0,0,0,3,5,0,0
Investments,0,18,1,2,333,333,554
Other Assets +,0,193,272,335,530,763,"1,124"
Total Assets,0,211,274,342,874,"1,104","1,687"
