0,1,2,3,4,5,6,7,8,9,10,11
Debtor Days,241,207,75,75,69,81,74,95,80,73,106
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,241,207,75,75,69,81,74,95,80,73,106
Working Capital Days,85,50,28,-4,3,-3,-47,27,-21,-22,126
ROCE %,,27%,39%,10%,50%,63%,42%,22%,15%,10%,8%
