0,1,2,3,4,5,6,7,8,9,10,11,12
Sales +,15,39,72,66,84,121,182,267,398,495,566,683
Expenses +,12,37,67,62,67,93,138,227,345,420,492,590
Operating Profit,3,2,6,4,17,28,45,40,53,75,74,93
OPM %,18%,5%,8%,5%,20%,23%,24%,15%,13%,15%,13%,14%
Other Income +,0,0,0,1,1,0,5,6,31,23,36,61
Interest,0,0,1,2,1,0,0,0,1,0,1,1
Depreciation,0,0,0,2,3,4,5,7,7,7,8,8
Profit before tax,2,2,5,1,14,24,44,40,76,90,102,145
Tax %,39%,-31%,-3%,59%,35%,29%,25%,29%,25%,26%,25%,
Net Profit +,1,2,5,0,9,17,33,28,57,67,76,108
EPS in Rs,0.25,0.28,0.63,0.03,0.73,1.37,2.58,2.21,4.24,5.02,5.42,7.72
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
