0,1,2,3,4,5,6,7,8,9,10,11,12
Equity Capital,11,16,16,24,24,24,26,26,27,27,28,28
Reserves,-5,-8,-3,-3,6,22,140,168,817,882,"1,703","1,773"
Borrowings +,0,0,8,7,0,0,2,1,0,1,3,4
Other Liabilities +,8,21,21,21,28,47,86,108,174,196,293,301
Total Liabilities,14,29,42,49,58,94,253,303,"1,018","1,105","2,027","2,106"
Fixed Assets +,0,1,1,14,15,24,27,25,27,30,28,34
CWIP,0,0,4,0,0,2,5,9,4,1,7,0
Investments,0,0,0,0,0,14,44,104,351,285,698,701
Other Assets +,14,28,37,34,43,54,177,166,636,790,"1,294","1,370"
Total Assets,14,29,42,49,58,94,253,303,"1,018","1,105","2,027","2,106"
