0,1,2,3,4,5,6,7,8,9,10,11
Cash from Operating Activity +,0,0,6,6,17,18,32,15,59,59,8
Cash from Investing Activity +,0,1,-8,-6,-1,-22,-68,-52,-473,-78,-690
Cash from Financing Activity +,-0,-0,7,-2,-8,-0,85,-1,590,-8,740
Net Cash Flow,0,1,5,-2,8,-5,49,-37,176,-27,58
