0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,317,434,643,750,877,805,850,584,824,722,732,658,672
Expenses +,227,357,551,676,786,718,777,503,741,618,658,592,609
Operating Profit,90,77,93,74,90,87,74,81,83,103,74,67,63
OPM %,28%,18%,14%,10%,10%,11%,9%,14%,10%,14%,10%,10%,9%
Other Income +,204,46,534,52,25,117,32,57,60,62,153,35,36
Interest,4,8,7,3,3,4,2,3,3,2,2,2,2
Depreciation,12,12,12,4,4,4,5,5,5,3,4,4,4
Profit before tax,278,103,608,120,108,196,99,130,135,160,220,96,93
Tax %,7%,17%,22%,16%,20%,21%,25%,20%,20%,21%,25%,25%,29%
Net Profit +,258,85,474,101,87,155,74,104,108,126,165,72,66
EPS in Rs,7.35,2.42,13.52,2.87,2.47,4.43,2.12,2.96,3.07,3.59,4.71,2.06,1.87
Raw PDF,,,,,,,,,,,,,
