0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,725,"1,062","1,115","1,252","1,645","2,210","2,526","3,672","5,675","7,484","6,997","6,411","5,704"
Expenses +,710,"1,043","1,092","1,223","1,560","2,104","2,400","3,467","5,401","7,201","6,631","6,093","5,456"
Operating Profit,15,18,23,29,85,107,126,204,274,284,367,319,247
OPM %,2%,2%,2%,2%,5%,5%,5%,6%,5%,4%,5%,5%,4%
Other Income +,0,8,1,26,0,3,4,9,2,3,15,36,276
Interest,8,8,6,7,15,13,26,39,31,35,39,44,48
Depreciation,4,4,5,6,10,14,20,32,38,51,58,64,67
Profit before tax,3,14,13,41,61,82,84,142,206,200,285,247,409
Tax %,44%,22%,24%,12%,28%,31%,33%,22%,26%,25%,26%,25%,
Net Profit +,2,11,10,36,44,57,56,111,152,151,211,186,331
EPS in Rs,1.25,7.08,6.33,23.48,7.97,10.07,9.96,19.10,25.95,25.44,35.45,31.04,55.28
Dividend Payout %,16%,3%,3%,11%,15%,4%,4%,4%,4%,8%,8%,16%,
