0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,089.51","1,669.72","1,503.88","2,293.40","1,532.81","1,667.31","1,508.95","2,072.58","1,441.47","1,388.40","1,298.61","1,986.16","1,030.46"
Expenses +,"2,021.21","1,596.84","1,434.19","2,195.54","1,453.89","1,553.17","1,425.72","1,978.77","1,375.31","1,316.45","1,244.64","1,894.58","1,000.70"
Operating Profit,68.30,72.88,69.69,97.86,78.92,114.14,83.23,93.81,66.16,71.95,53.97,91.58,29.76
OPM %,3.27%,4.36%,4.63%,4.27%,5.15%,6.85%,5.52%,4.53%,4.59%,5.18%,4.16%,4.61%,2.89%
Other Income +,0.60,0.36,1.85,2.81,9.69,4.12,7.57,8.47,9.45,11.80,12.46,246.06,5.94
Interest,8.28,9.54,7.29,8.98,9.20,10.76,10.27,9.08,12.42,9.71,11.24,11.67,14.97
Depreciation,12.27,15.37,12.14,14.37,13.73,17.37,15.76,15.27,16.27,16.68,16.68,17.43,16.57
Profit before tax,48.35,48.33,52.11,77.32,65.68,90.13,64.77,77.93,46.92,57.36,38.51,308.54,4.16
Tax %,26.93%,27.52%,24.70%,23.93%,25.73%,28.67%,25.97%,26.54%,21.10%,24.27%,27.21%,16.76%,39.90%
Net Profit +,35.33,35.03,39.24,58.82,48.78,64.29,47.95,57.25,37.02,43.44,28.03,256.82,2.50
EPS in Rs,5.95,5.90,6.61,9.91,8.19,10.79,8.05,9.61,6.19,7.26,4.68,42.92,0.42
Raw PDF,,,,,,,,,,,,,
