0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,185,182,119,204,262,156,344,580,458,212,629,459
Cash from Investing Activity +,-129,-117,-66,-116,-233,-107,-277,-187,-50,93,438,33
Cash from Financing Activity +,-46,-46,-50,-52,-56,-56,-63,-436,-369,-341,"-1,010",-517
Net Cash Flow,10,19,2,37,-27,-7,4,-44,39,-37,57,-25
