0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,64,64,64,64,64,64,64,64,64,64,64,64,64
Reserves,636,777,958,"1,158","1,261","1,414","1,682","1,832","1,696","1,750","1,370","1,456","1,399"
Borrowings +,0,0,0,0,0,0,0,"1,249","1,032","1,094","1,245","1,355","1,438"
Other Liabilities +,430,542,615,508,597,666,732,589,542,616,587,464,579
Total Liabilities,"1,130","1,383","1,637","1,730","1,923","2,145","2,479","3,735","3,334","3,525","3,265","3,340","3,480"
Fixed Assets +,241,246,307,302,266,294,315,"1,368","1,118","1,224","1,389","1,505","1,567"
CWIP,18,24,48,19,30,12,17,20,34,5,4,4,6
Investments,5,5,5,5,5,5,5,5,5,5,5,5,5
Other Assets +,866,"1,108","1,278","1,404","1,622","1,833","2,142","2,343","2,178","2,291","1,868","1,826","1,902"
Total Assets,"1,130","1,383","1,637","1,730","1,923","2,145","2,479","3,735","3,334","3,525","3,265","3,340","3,480"
