0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,842","2,065","2,694","2,415","2,467","2,629","2,928","3,053","1,707","2,388","3,452","3,478","3,498"
Expenses +,"1,556","1,728","2,343","2,121","2,172","2,263","2,438","2,210","1,539","1,963","2,648","2,684","2,759"
Operating Profit,287,338,351,295,295,366,490,844,168,425,804,794,739
OPM %,16%,16%,13%,12%,12%,14%,17%,28%,10%,18%,23%,23%,21%
Other Income +,29,17,75,97,19,49,66,66,87,54,35,19,188
Interest,12,13,18,16,15,15,14,129,108,99,118,126,125
Depreciation,51,59,79,79,65,60,64,296,265,242,295,339,358
Profit before tax,252,283,329,297,234,340,478,485,-118,137,426,349,444
Tax %,32%,33%,30%,27%,32%,34%,31%,33%,-23%,26%,25%,25%,
Net Profit +,172,191,231,218,159,224,330,327,-90,101,319,260,345
EPS in Rs,13.35,14.84,17.99,16.93,12.35,17.40,25.65,25.44,-7.02,7.85,24.83,20.22,26.86
Dividend Payout %,22%,22%,18%,21%,28%,23%,24%,16%,-57%,694%,54%,59%,
