0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,514","1,885","2,095","2,078","2,034","2,233","2,791","2,972","2,153","3,560","6,299","6,245","6,626"
Expenses +,"1,032","1,397","1,605","1,569","1,390","1,453","1,906","1,919","1,219","2,636","5,115","4,402","5,101"
Operating Profit,483,488,490,509,644,780,885,"1,053",934,924,"1,184","1,843","1,525"
OPM %,32%,26%,23%,24%,32%,35%,32%,35%,43%,26%,19%,30%,23%
Other Income +,32,34,41,47,53,58,78,99,81,86,112,175,182
Interest,1,0,1,2,1,0,0,7,7,8,9,12,13
Depreciation,71,81,80,83,95,111,126,162,174,196,231,274,302
Profit before tax,442,442,449,472,601,727,837,984,834,806,"1,056","1,733","1,392"
Tax %,33%,33%,33%,34%,34%,34%,35%,19%,26%,26%,25%,26%,
Net Profit +,299,297,301,311,393,478,546,794,620,597,790,"1,289","1,058"
EPS in Rs,33.41,33.27,33.69,34.80,39.83,48.38,55.32,80.33,62.72,60.43,79.98,130.50,107.09
Dividend Payout %,52%,53%,52%,50%,48%,39%,36%,44%,37%,41%,20%,23%,
