0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,028","1,087","1,455","1,563","1,671","1,610","1,538","1,571","1,569","1,567","1,590","1,712","1,758"
Expenses +,925,871,"1,169","1,310","1,415","1,221","1,017","1,092","1,120","1,173","1,171","1,313","1,443"
Operating Profit,103,215,286,253,256,390,521,479,449,394,418,399,314
OPM %,10%,20%,20%,16%,15%,24%,34%,30%,29%,25%,26%,23%,18%
Other Income +,22,23,20,26,32,34,39,44,48,45,40,51,46
Interest,2,2,2,2,2,2,3,2,3,4,3,3,3
Depreciation,48,56,54,55,59,64,62,66,68,78,72,73,79
Profit before tax,75,180,250,221,227,357,496,454,426,357,384,373,278
Tax %,24%,27%,26%,26%,24%,25%,26%,25%,26%,26%,26%,24%,19%
Net Profit +,57,132,185,164,172,269,368,338,317,265,285,283,225
EPS in Rs,5.75,13.34,18.75,16.60,17.42,27.21,37.30,34.27,32.11,26.83,28.81,28.63,22.82
Raw PDF,,,,,,,,,,,,,
