0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"32,201","37,888","24,964","39,894","32,788","37,537","42,304","57,807","27,665","49,301","80,838","65,336"
Cash from Investing Activity +,"-23,659","-30,550","-17,991","-32,683","-21,304","-53,730","-22,088","-34,980","-20,657","-23,502","-57,365","-42,694"
Cash from Financing Activity +,"-15,448","-9,757","-8,098","-7,316","-11,455","16,180","-20,230","-22,747","-6,984","-25,869","-23,445","-22,685"
Net Cash Flow,"-6,906","-2,420","-1,125",-105,29,-13,-13,80,24,-70,27,-43
