0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,"17,701","17,862","18,177","20,107","22,231","23,910","25,004","26,838","28,039","28,807","28,701","29,740","30,312"
Interest,"10,756","10,856","11,392","12,673","13,631","15,293","16,338","17,935","18,622","19,227","19,535","20,425","21,163"
Expenses +,"6,999","8,974","9,044","8,990","8,756","9,235","8,600","8,530","8,806","9,892","9,151","8,894","9,512"
Financing Profit,-54,"-1,968","-2,259","-1,557",-156,-618,66,373,612,-312,15,422,-364
Financing Margin %,-0%,-11%,-12%,-8%,-1%,-3%,0%,1%,2%,-1%,0%,1%,-1%
Other Income +,"2,257","4,462","5,175","4,825","3,986","4,775","4,819","4,634","4,295","5,218","5,319","4,981","5,802"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,203","2,493","2,916","3,269","3,831","4,157","4,885","5,008","4,907","4,906","5,334","5,403","5,438"
Tax %,32%,33%,31%,23%,25%,24%,28%,28%,25%,23%,27%,26%,25%
Net Profit +,"1,502","1,666","2,022","2,525","2,882","3,175","3,535","3,606","3,656","3,757","3,905","4,015","4,104"
EPS in Rs,1.66,1.84,2.23,2.78,3.18,3.50,3.90,3.98,4.03,4.14,4.31,4.43,4.52
Gross NPA %,7.80%,7.51%,6.98%,6.37%,5.89%,5.35%,5.15%,4.76%,4.39%,4.23%,4.14%,3.73%,3.34%
Net NPA %,2.86%,2.65%,2.48%,2.19%,1.96%,1.73%,1.57%,1.41%,1.32%,1.27%,1.24%,0.99%,0.89%
Raw PDF,,,,,,,,,,,,,
