0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"8,434","9,535","4,547","6,078","2,316","-11,504","17,886","-5,459","58,533",268,"-40,676","14,254"
Cash from Investing Activity +,-261,-501,-875,-317,-348,-274,-461,-277,-666,-657,-390,"-1,083"
Cash from Financing Activity +,"-1,638","1,079",140,"2,331",124,"2,865","-1,185","7,855",284,"4,035",435,"-3,834"
Net Cash Flow,"6,535","10,114","3,812","8,093","2,092","-8,913","16,240","2,119","58,151","3,646","-40,631","9,337"
