0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"1,146",628,974,737,705,"1,067","1,053","1,485","1,545","1,598","1,506","1,644"
Cash from Investing Activity +,"-1,234",-656,"3,733","1,087","2,184","-1,287",274,"-1,523",51,9,167,"1,525"
Cash from Financing Activity +,15,14,"-4,690","-1,779",-925,"-1,668","-1,267",-33,"-1,570","-1,713","-1,651","-1,943"
Net Cash Flow,-73,-14,18,45,"1,963","-1,888",60,-72,25,-106,22,"1,226"
