0,1,2,3,4,5,6,7
Cash from Operating Activity +,,22,-21,125,18,126,264
Cash from Investing Activity +,,-23,-55,-9,-34,-70,-74
Cash from Financing Activity +,,1,89,-129,16,-33,-192
Net Cash Flow,,0,13,-14,-1,24,-2
