0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"5,144","4,669","5,170","3,976","3,684","3,929","3,782","3,845","3,929","4,134","4,450","3,782","4,153"
Expenses +,"4,907","3,972","4,563","3,334","3,102","3,368","3,394","3,349","3,528","3,543","3,915","3,268","3,772"
Operating Profit,237,697,607,643,582,560,388,497,401,591,536,514,380
OPM %,5%,15%,12%,16%,16%,14%,10%,13%,10%,14%,12%,14%,9%
Other Income +,35,6,19,19,32,32,24,30,23,87,39,39,59
Interest,14,14,14,13,8,6,7,8,7,7,8,8,9
Depreciation,97,102,103,106,109,109,115,118,120,121,123,130,129
Profit before tax,162,587,509,542,497,477,289,401,296,550,443,415,300
Tax %,25%,24%,25%,25%,25%,23%,26%,26%,26%,26%,26%,26%,26%
Net Profit +,122,444,381,404,371,369,215,298,220,410,330,307,222
EPS in Rs,1.77,6.45,5.54,5.87,5.39,5.36,3.12,4.33,3.20,5.95,4.79,4.46,3.22
Raw PDF,,,,,,,,,,,,,
