0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"8,202","9,457","10,132","12,118","10,768","11,390","12,374","12,659","11,303","15,381","14,345","16,574","18,284"
Expenses +,"6,067","7,460","8,162","10,064","9,155","9,194","9,869","9,952","8,235","11,670","10,992","12,090","12,996"
Operating Profit,"2,135","1,996","1,969","2,053","1,613","2,196","2,505","2,707","3,067","3,711","3,353","4,484","5,288"
OPM %,26%,21%,19%,17%,15%,19%,20%,21%,27%,24%,23%,27%,29%
Other Income +,213,273,140,280,113,257,575,893,654,742,640,"1,434","1,286"
Interest,33,128,136,147,39,12,17,36,45,27,22,20,17
Depreciation,303,324,433,443,500,530,570,600,469,547,596,588,563
Profit before tax,"2,012","1,818","1,540","1,744","1,187","1,911","2,493","2,964","3,208","3,880","3,375","5,310","5,994"
Tax %,25%,24%,23%,16%,18%,23%,24%,22%,23%,24%,26%,23%,
Net Profit +,"1,507","1,388","1,181","1,462",975,"1,469","1,888","2,318","2,468","2,958","2,513","4,077","4,711"
EPS in Rs,18.77,17.29,14.71,18.20,12.12,18.24,23.44,28.75,30.61,36.66,31.14,50.50,58.34
Dividend Payout %,11%,12%,14%,11%,16%,16%,13%,14%,16%,14%,27%,26%,
