0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"1,381","1,812","1,051","1,728","2,207","1,117","1,468","2,018","3,460","2,773","3,035","3,727"
Cash from Investing Activity +,"-2,064","-1,467","-1,194","-1,206","-1,192",-593,"-1,148","-1,127","-3,361","-2,464","-2,758","-2,883"
Cash from Financing Activity +,733,-404,180,-547,"-1,011",-351,-473,-694,-66,-427,-425,-709
Net Cash Flow,50,-59,37,-25,5,173,-153,197,33,-117,-148,135
