0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,"2,854","3,641","4,513","7,157","8,540","9,600","10,649","12,000","13,175","13,773","14,505","16,436","17,376"
Borrowings +,"1,708","1,599","1,903","2,067","2,072","1,701","1,868","1,365","1,120","2,415","2,561","2,377","1,627"
Other Liabilities +,"2,647","3,013","3,377","3,942","4,309","4,997","5,707","5,785","7,961","6,501","6,954","7,597","9,003"
Total Liabilities,"7,212","8,257","9,797","13,170","14,925","16,302","18,228","19,154","22,260","22,693","24,024","26,415","28,011"
Fixed Assets +,"2,914","2,970","3,429","4,594","5,488","6,075","6,768","8,849","9,391","9,466","10,050","11,977","12,582"
CWIP,415,359,627,"1,058",847,"1,079","1,403","1,735","1,001","1,226","3,045","2,363","1,806"
Investments,425,906,"1,088","3,147","3,394","4,146","3,848","1,540","5,876","3,665","3,106","3,404","3,988"
Other Assets +,"3,459","4,023","4,654","4,370","5,196","5,001","6,209","7,030","5,991","8,336","7,823","8,671","9,635"
Total Assets,"7,212","8,257","9,797","13,170","14,925","16,302","18,228","19,154","22,260","22,693","24,024","26,415","28,011"
