0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,45,47,47,34,54,53,54,52,51,44,39,42
Inventory Days,72,83,78,61,116,87,112,110,114,119,97,107
Days Payable,41,47,50,50,82,80,88,90,168,81,66,72
Cash Conversion Cycle,76,83,76,45,89,60,78,71,-3,82,70,77
Working Capital Days,54,50,47,10,19,5,11,9,-42,33,11,17
ROCE %,23%,29%,27%,50%,23%,17%,16%,13%,14%,6%,7%,16%
