0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"4,830","5,200","5,599","5,719","5,535","5,725","6,323","6,088","6,048","6,215","7,078","6,760","6,883"
Expenses +,"4,344","4,673","5,121","5,252","4,986","4,882","5,209","4,959","5,008","5,330","5,940","5,787","6,081"
Operating Profit,486,528,478,467,549,843,"1,114","1,129","1,039",886,"1,138",973,802
OPM %,10%,10%,9%,8%,10%,15%,18%,19%,17%,14%,16%,14%,12%
Other Income +,69,65,34,76,70,148,74,70,77,92,83,112,97
Interest,63,66,64,70,80,84,78,75,78,86,75,67,71
Depreciation,295,310,297,308,315,328,332,350,359,384,394,408,414
Profit before tax,197,217,152,165,224,579,778,773,679,508,751,611,413
Tax %,26%,28%,26%,25%,24%,29%,25%,26%,25%,25%,25%,25%,26%
Net Profit +,146,157,112,124,169,411,581,572,508,380,563,455,307
EPS in Rs,343.90,369.67,264.93,292.35,399.00,968.29,"1,370.99","1,348.54","1,197.85",894.93,"1,326.42","1,073.85",723.21
Raw PDF,,,,,,,,,,,,,
