0,1,2,3,4,5,6,7,8
Revenue,538,578,614,659,673,697,751,785
Interest,213,235,239,251,262,277,285,297
Expenses +,116,150,117,142,147,156,167,174
Financing Profit,209,192,258,266,264,263,299,314
Financing Margin %,39%,33%,42%,40%,39%,38%,40%,40%
Other Income +,-25,0,0,0,0,0,0,0
Depreciation,4,5,5,5,6,6,6,6
Profit before tax,179,187,253,260,258,257,293,308
Tax %,22%,22%,22%,22%,22%,22%,22%,22%
Net Profit +,141,146,197,203,202,200,228,239
EPS in Rs,3.56,3.71,5.00,5.15,5.10,4.69,5.29,5.55
Gross NPA %,,1.49%,1.38%,,,1.36%,,
Net NPA %,,1.00%,0.85%,,,0.87%,,
Raw PDF,,,,,,,,
