0,1,2,3,4,5,6
Cash from Operating Activity +,"-2,558","-1,784",,-907,"-1,157","-2,432"
Cash from Investing Activity +,-48,"-1,496",,823,-475,605
Cash from Financing Activity +,"3,360","3,701",,275,"1,463","1,778"
Net Cash Flow,754,422,,191,-169,-49
