0,1,2,3,4,5,6,7
Equity Capital,25,39,395,395,395,395,430
Reserves,835,"2,308","2,298","2,751","3,301","4,051","5,439"
Deposits,-0,-0,-0,-0,-0,-0,-0
Borrowings +,"8,195","9,643","10,374","10,675","12,153","13,960","14,962"
Other Liabilities +,406,375,561,552,764,680,244
Total Liabilities,"9,461","12,365","13,628","14,372","16,613","19,086","21,075"
Fixed Assets +,24,44,53,55,63,80,85
CWIP,-0,-0,-0,-0,-0,-0,-0
Investments,149,24,497,338,458,458,510
Other Assets +,"9,288","12,297","13,077","13,979","16,092","18,548","20,480"
Total Assets,"9,461","12,365","13,628","14,372","16,613","19,086","21,075"
