0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"3,652","4,417","4,230","3,669","4,120","4,850","4,824","3,891","4,401","5,434","5,798","4,533","4,882"
Expenses +,"3,212","3,897","3,869","3,382","3,696","4,319","4,421","3,518","3,968","4,798","5,222","4,153","4,451"
Operating Profit,440,521,361,287,424,531,402,373,433,637,576,380,432
OPM %,12%,12%,9%,8%,10%,11%,8%,10%,10%,12%,10%,8%,9%
Other Income +,49,44,47,43,40,47,65,52,56,76,77,93,64
Interest,12,19,10,7,7,10,8,9,10,18,9,10,9
Depreciation,66,71,72,72,75,77,76,81,88,93,92,95,104
Profit before tax,411,475,327,251,382,490,382,335,391,601,553,368,382
Tax %,26%,26%,26%,26%,26%,26%,25%,26%,26%,25%,26%,26%,26%
Net Profit +,306,353,242,187,284,362,287,249,288,449,411,273,283
EPS in Rs,4.88,5.64,3.87,2.98,4.53,5.77,4.59,3.97,4.59,7.16,6.56,4.35,4.51
Raw PDF,,,,,,,,,,,,,
