0,1,2,3,4,5,6,7
Sales +,"1,217","1,245","1,051","1,731","2,112","2,732","2,978"
Expenses +,913,941,854,"1,421","1,746","2,240","2,394"
Operating Profit,304,303,197,310,367,492,584
OPM %,25%,24%,19%,18%,17%,18%,20%
Other Income +,11,149,14,38,38,405,445
Interest,0,9,11,14,12,12,12
Depreciation,49,60,54,50,61,66,77
Profit before tax,266,384,147,283,332,819,941
Tax %,28%,24%,26%,23%,27%,16%,
Net Profit +,191,292,108,219,244,687,785
EPS in Rs,,,,,6.02,16.94,19.35
Dividend Payout %,34%,57%,0%,0%,204%,59%,
