0,1,2,3,4,5,6,7
Equity Capital,43,42,42,42,81,81,81
Reserves,716,719,829,742,939,"1,124","1,321"
Borrowings +,0,0,88,93,86,82,88
Other Liabilities +,219,256,938,"1,227","1,492","1,643","2,016"
Total Liabilities,978,"1,017","1,897","2,104","2,598","2,930","3,507"
Fixed Assets +,97,191,160,184,178,209,198
CWIP,25,0,0,0,3,0,0
Investments,258,255,716,747,249,369,404
Other Assets +,598,571,"1,021","1,173","2,169","2,352","2,905"
Total Assets,978,"1,017","1,897","2,104","2,598","2,930","3,507"
