0,1,2,3,4,5,6,7,8,9
Sales +,493,766,647,673,696,716,721,794,748
Expenses +,433,616,529,566,564,581,591,621,602
Operating Profit,60,151,118,108,132,135,130,173,147
OPM %,12%,20%,18%,16%,19%,19%,18%,22%,20%
Other Income +,19,13,10,369,16,9,404,15,16
Interest,4,3,3,3,3,3,3,3,4
Depreciation,16,16,15,16,17,18,19,19,20
Profit before tax,60,145,110,458,128,123,512,166,139
Tax %,25%,28%,28%,5%,27%,35%,6%,27%,26%
Net Profit +,45,103,80,434,94,80,480,122,103
EPS in Rs,11.03,2.55,1.97,10.69,2.32,1.97,11.83,3.01,2.54
Raw PDF,,,,,,,,,
