0,1,2,3,4,5,6
Cash from Operating Activity +,163,,882,-370,347,87
Cash from Investing Activity +,-19,,-684,159,27,431
Cash from Financing Activity +,-153,,-21,-19,-318,-524
Net Cash Flow,-10,,178,-230,55,-6
